Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:15:48 7314 19 female R 2 5 16 moral moralOther Y y 1 0.5933 
16-May-2018_14:15:50 7314 19 female R 2 5 17 moral moralOther Y y 1 0.6774 
16-May-2018_14:15:52 7314 19 female R 2 5 18 moral moralOther Y y 1 0.9475 
16-May-2018_14:15:54 7314 19 female R 2 5 19 moral immoralSelf U u 1 0.6836 
16-May-2018_14:15:56 7314 19 female R 2 5 20 moral immoralSelf U u 1 0.6018 
16-May-2018_14:15:58 7314 19 female R 2 5 21 moral immoralOther U y 0 0.6419 
16-May-2018_14:16:00 7314 19 female R 2 5 22 moral moralOther Y y 1 0.7660 
16-May-2018_14:16:01 7314 19 female R 2 5 23 moral immoralOther U u 1 0.4881 
16-May-2018_14:16:03 7314 19 female R 2 5 24 moral immoralOther U u 1 0.5102 
Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:18:39 7314 19 female R 3 1 1 moral immoralSelf U u 1 0.6470 
16-May-2018_14:18:42 7314 19 female R 3 1 2 moral moralOther Y y 1 0.8952 
16-May-2018_14:18:43 7314 19 female R 3 1 3 moral moralOther Y y 1 0.7873 
16-May-2018_14:18:45 7314 19 female R 3 1 4 moral immoralSelf U u 1 0.6133 
16-May-2018_14:18:47 7314 19 female R 3 1 5 moral moralOther Y y 1 0.6254 
16-May-2018_14:18:49 7314 19 female R 3 1 6 moral moralSelf Y y 1 0.6696 
16-May-2018_14:18:51 7314 19 female R 3 1 7 moral immoralSelf U u 1 0.7256 
16-May-2018_14:18:54 7314 19 female R 3 1 8 moral moralSelf Y y 1 0.7598 
16-May-2018_14:18:56 7314 19 female R 3 1 9 moral moralSelf Y y 1 0.6739 
16-May-2018_14:18:58 7314 19 female R 3 1 10 moral immoralOther U u 1 0.6901 
16-May-2018_14:19:00 7314 19 female R 3 1 11 moral immoralOther U u 1 0.4803 
16-May-2018_14:19:01 7314 19 female R 3 1 12 moral immoralOther U u 1 0.4383 
16-May-2018_14:19:03 7314 19 female R 3 1 13 moral moralSelf Y y 1 0.7844 
16-May-2018_14:19:05 7314 19 female R 3 1 14 moral immoralSelf U u 1 0.8465 
16-May-2018_14:19:07 7314 19 female R 3 1 15 moral moralSelf Y u 0 0.9986 
16-May-2018_14:19:09 7314 19 female R 3 1 16 moral immoralOther U u 1 0.7228 
16-May-2018_14:19:11 7314 19 female R 3 1 17 moral moralOther Y y 1 0.7248 
16-May-2018_14:19:14 7314 19 female R 3 1 18 moral moralSelf Y y 1 1.0250 
16-May-2018_14:19:16 7314 19 female R 3 1 19 moral moralOther Y y 1 0.6851 
16-May-2018_14:19:17 7314 19 female R 3 1 20 moral immoralOther U u 1 0.5132 
16-May-2018_14:19:20 7314 19 female R 3 1 21 moral immoralOther U u 1 1.0593 
16-May-2018_14:19:21 7314 19 female R 3 1 22 moral moralOther Y y 1 0.5036 
16-May-2018_14:19:23 7314 19 female R 3 1 23 moral immoralSelf U u 1 0.4715 
16-May-2018_14:19:25 7314 19 female R 3 1 24 moral immoralSelf U u 1 0.5997 
16-May-2018_14:19:27 7314 19 female R 3 2 1 moral moralOther Y y 1 0.5678 
16-May-2018_14:19:29 7314 19 female R 3 2 2 moral moralSelf Y u 0 0.7618 
16-May-2018_14:19:31 7314 19 female R 3 2 3 moral immoralOther U u 1 0.6279 
16-May-2018_14:19:33 7314 19 female R 3 2 4 moral moralSelf Y y 1 0.7540 
16-May-2018_14:19:35 7314 19 female R 3 2 5 moral moralSelf Y y 1 0.5241 
16-May-2018_14:19:37 7314 19 female R 3 2 6 moral immoralSelf U u 1 1.0683 
16-May-2018_14:19:39 7314 19 female R 3 2 7 moral immoralOther U y 0 0.7144 
16-May-2018_14:19:41 7314 19 female R 3 2 8 moral moralOther Y y 1 0.5784 
16-May-2018_14:19:43 7314 19 female R 3 2 9 moral moralOther Y y 1 0.5747 
16-May-2018_14:19:45 7314 19 female R 3 2 10 moral immoralSelf U u 1 0.6128 
16-May-2018_14:19:46 7314 19 female R 3 2 11 moral immoralSelf U u 1 0.5468 
16-May-2018_14:19:48 7314 19 female R 3 2 12 moral immoralSelf U u 1 0.4389 
16-May-2018_14:19:49 7314 19 female R 3 2 13 moral immoralSelf U u 1 0.4510 
16-May-2018_14:19:52 7314 19 female R 3 2 14 moral immoralOther U u 1 0.7991 
16-May-2018_14:19:53 7314 19 female R 3 2 15 moral moralOther Y y 1 0.5832 
16-May-2018_14:19:55 7314 19 female R 3 2 16 moral immoralOther U u 1 0.7933 
16-May-2018_14:19:57 7314 19 female R 3 2 17 moral immoralOther U u 1 0.5334 
16-May-2018_14:19:59 7314 19 female R 3 2 18 moral moralSelf Y y 1 0.7535 
16-May-2018_14:20:01 7314 19 female R 3 2 19 moral moralSelf Y NA -1 1.0850 
16-May-2018_14:20:03 7314 19 female R 3 2 20 moral immoralSelf U u 1 0.5178 
16-May-2018_14:20:05 7314 19 female R 3 2 21 moral moralSelf Y u 0 0.8158 
16-May-2018_14:20:07 7314 19 female R 3 2 22 moral moralOther Y y 1 0.7659 
16-May-2018_14:20:09 7314 19 female R 3 2 23 moral moralOther Y u 0 0.9201 
16-May-2018_14:20:11 7314 19 female R 3 2 24 moral immoralOther U u 1 0.8382 
16-May-2018_14:20:16 7314 19 female R 3 3 1 moral moralSelf Y y 1 0.6845 
16-May-2018_14:20:18 7314 19 female R 3 3 2 moral immoralOther U u 1 0.7346 
16-May-2018_14:20:20 7314 19 female R 3 3 3 moral moralOther Y y 1 0.6347 
16-May-2018_14:20:22 7314 19 female R 3 3 4 moral immoralSelf U NA -1 1.0850 
16-May-2018_14:20:24 7314 19 female R 3 3 5 moral moralSelf Y y 1 0.6490 
16-May-2018_14:20:26 7314 19 female R 3 3 6 moral immoralSelf U u 1 0.8611 
16-May-2018_14:20:29 7314 19 female R 3 3 7 moral moralOther Y NA -1 1.0850 
16-May-2018_14:20:31 7314 19 female R 3 3 8 moral immoralOther U u 1 0.6553 
16-May-2018_14:20:33 7314 19 female R 3 3 9 moral moralOther Y y 1 0.5395 
16-May-2018_14:20:35 7314 19 female R 3 3 10 moral moralSelf Y y 1 0.7535 
16-May-2018_14:20:36 7314 19 female R 3 3 11 moral immoralSelf U u 1 0.4637 
16-May-2018_14:20:38 7314 19 female R 3 3 12 moral immoralOther U u 1 0.8938 
16-May-2018_14:20:40 7314 19 female R 3 3 13 moral moralSelf Y u 0 0.5479 
16-May-2018_14:20:42 7314 19 female R 3 3 14 moral moralSelf Y y 1 0.9780 
16-May-2018_14:20:44 7314 19 female R 3 3 15 moral immoralSelf U u 1 0.6001 
16-May-2018_14:20:46 7314 19 female R 3 3 16 moral immoralSelf U u 1 0.5402 
