"Date","Subject","Age","Sex","Hand","Block","Bin","Trial","Task","Shape","corrResp","Resp","ACC","RT","Morality","Identity"
"02-May-2018_14:45:25",7302,22,"female","R",2,4,20,"Val","immoralSelf","Y","y",1,0.5741,"Bad","Self"
"02-May-2018_14:45:26",7302,22,"female","R",2,4,21,"Val","moralOther","U","u",1,0.4221,"Good","Other"
"02-May-2018_14:45:28",7302,22,"female","R",2,4,22,"Val","moralSelf","U","y",0,0.4162,"Good","Self"
"02-May-2018_14:45:30",7302,22,"female","R",2,4,23,"Val","moralOther","U","u",1,0.5123,"Good","Other"
"02-May-2018_14:45:31",7302,22,"female","R",2,4,24,"Val","moralSelf","U","u",1,0.4423,"Good","Self"
"02-May-2018_14:45:37",7302,22,"female","R",2,5,1,"Val","immoralOther","Y","y",1,0.6407,"Bad","Other"
"02-May-2018_14:45:39",7302,22,"female","R",2,5,2,"Val","immoralOther","Y","y",1,0.3928,"Bad","Other"
"02-May-2018_14:45:41",7302,22,"female","R",2,5,3,"Val","moralOther","U","u",1,0.5029,"Good","Other"
"02-May-2018_14:45:42",7302,22,"female","R",2,5,4,"Val","moralSelf","U","u",1,0.495,"Good","Self"
"02-May-2018_14:45:44",7302,22,"female","R",2,5,5,"Val","immoralSelf","Y","y",1,0.463,"Bad","Self"
"02-May-2018_14:45:46",7302,22,"female","R",2,5,6,"Val","immoralSelf","Y","y",1,0.3433,"Bad","Self"
"02-May-2018_14:45:47",7302,22,"female","R",2,5,7,"Val","immoralSelf","Y","y",1,0.3433,"Bad","Self"
"02-May-2018_14:45:49",7302,22,"female","R",2,5,8,"Val","moralSelf","U","y",0,0.4774,"Good","Self"
"02-May-2018_14:45:51",7302,22,"female","R",2,5,9,"Val","moralSelf","U","u",1,0.5095,"Good","Self"
"02-May-2018_14:45:52",7302,22,"female","R",2,5,10,"Val","moralSelf","U","u",1,0.3456,"Good","Self"
"02-May-2018_14:45:53",7302,22,"female","R",2,5,11,"Val","moralSelf","U","u",1,0.3156,"Good","Self"
"02-May-2018_14:45:55",7302,22,"female","R",2,5,12,"Val","immoralOther","Y","y",1,0.5297,"Bad","Other"
