"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s25",38,0.45,77,0.9,"0.5","SR","s25_sr20",3
"s26",55,0.57,54,0.81,"0.5","SR","s26_sr01",1
"s26",56,0.47,53,0.1,"0","SR","s26_sr02",2
"s26",51,0.39,10,0.12,"0.5","SR","s26_sr03",3
"s26",61,0.23,18,0.4,"0","SR","s26_sr04",3
"s26",22,0.56,60,0.66,"0","SR","s26_sr05",3
"s26",9,0.32,41,0.75,"0","SR","s26_sr06",3
"s26",77,0.6,37,0.13,"0","SR","s26_sr07",4
"s26",46,0.42,34,0.49,"0","SR","s26_sr08",4
"s26",62,0.76,60,0.71,"0","SR","s26_sr09",6
"s26",23,0.51,55,0.65,"0","SR","s26_sr10",7
"s26",4,0.49,35,0.81,"0","SR","s26_sr11",7
"s26",75,0.03,0,0.08,"0","SR","s26_sr12",9
"s26",11,0.18,3,0.63,"0","SR","s26_sr13",9
"s26",80,0.29,28,0.8,"0","SR","s26_sr14",11
"s26",37,0.65,80,1,"0","SR","s26_sr15",12
"s26",31,0.51,59,0.61,"0","SR","s26_sr16",19
"s26",50,0.72,44,0.26,"0","SR","s26_sr17",2
"s26",14,0.61,61,0.72,"0","SR","s26_sr18",18
"s26",12,0.34,40,0.65,"0","SR","s26_sr19",18
"s26",43,0.7,65,0.66,"0","SR","s26_sr20",2
"s27",25,0.58,33,0.99,"0.5","SR","s27_sr01",1
"s27",29,0.02,6,0.04,"0","SR","s27_sr02",2
"s27",18,0.34,33,0.58,"0","SR","s27_sr03",3
"s27",47,0.19,11,0.46,"0.5","SR","s27_sr04",3
"s27",30,0.57,56,0.41,"0","SR","s27_sr05",3
"s27",68,0.09,17,0.11,"0","SR","s27_sr06",4
"s27",14,0.59,26,0.14,"0.5","SR","s27_sr07",4
"s27",1,0.64,15,0.14,"0","SR","s27_sr08",4
"s27",58,0.76,65,0.29,"0","SR","s27_sr09",6
"s27",64,0.8,61,0.56,"0","SR","s27_sr10",7
"s27",41,0.58,60,0.76,"0.5","SR","s27_sr11",9
"s27",26,0.41,20,0.63,"0","SR","s27_sr12",10
"s27",42,0.17,13,0.82,"0","SR","s27_sr13",11
"s27",37,0.06,3,0.8,"0","SR","s27_sr14",11
"s27",51,0.32,18,0.54,"0","SR","s27_sr15",12
"s27",75,0.07,8,0.64,"0","SR","s27_sr16",15
"s27",59,0.31,44,0.79,"0","SR","s27_sr17",18
"s27",22,0.17,7,0.79,"0","SR","s27_sr18",18
"s27",46,0.54,40,0.43,"0","SR","s27_sr19",19
"s27",12,0.36,34,0.14,"0","SR","s27_sr20",19
"s28",56,0.51,51,0.73,"0.5","SR","s28_sr01",1
"s28",52,0.92,86,0.89,"1","SR","s28_sr02",2
"s28",63,0.58,51,0.73,"0.5","SR","s28_sr03",3
"s28",34,0.57,57,0.82,"1","SR","s28_sr04",3
"s28",51,0.85,56,0.75,"0.5","SR","s28_sr05",3
"s28",13,0.85,59,0.87,"1","SR","s28_sr06",3
"s28",67,0.65,70,0.58,"1","SR","s28_sr07",4
"s28",80,0.55,65,0.58,"0.5","SR","s28_sr08",4
"s28",23,0.37,52,0.97,"1","SR","s28_sr09",6
"s28",17,0.83,80,0.76,"0","SR","s28_sr10",7
"s28",40,0.61,60,0.88,"1","SR","s28_sr11",10
"s28",55,0.09,25,0.42,"0","SR","s28_sr12",11
"s28",39,0.49,55,0.71,"0","SR","s28_sr13",11
"s28",44,0.13,10,0.05,"0","SR","s28_sr14",12
"s28",30,0.97,100,1,"0","SR","s28_sr15",15
